"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 22 20:18:01 MSK 2022","Fri Apr 22 20:18:48 MSK 2022","46875","","com.bbc.BbcTest","","com.bbc.BbcTest","negativePasswordCheck","negativePasswordCheck",""
"passed","Fri Apr 22 20:19:58 MSK 2022","Fri Apr 22 20:20:12 MSK 2022","13711","","ru.diary.FirstTest","","ru.diary.FirstTest","testVisibility","testVisibility",""
"passed","Fri Apr 22 20:18:48 MSK 2022","Fri Apr 22 20:18:59 MSK 2022","11453","","com.bbc.BbcTest","","com.bbc.BbcTest","authorizationVisibility","authorizationVisibility",""
"passed","Fri Apr 22 20:18:59 MSK 2022","Fri Apr 22 20:19:08 MSK 2022","8485","","com.bbc.BbcTest","","com.bbc.BbcTest","authorizationVisibilityWarning","authorizationVisibilityWarning",""
"passed","Fri Apr 22 20:19:08 MSK 2022","Fri Apr 22 20:19:22 MSK 2022","14136","","ru.diary.FirstTest","","ru.diary.FirstTest","testLogIn","testLogIn",""
"passed","Fri Apr 22 20:19:22 MSK 2022","Fri Apr 22 20:19:28 MSK 2022","6294","","ru.diary.FirstTest","","ru.diary.FirstTest","testFailureLogIn1","testFailureLogIn1",""
"passed","Fri Apr 22 20:19:48 MSK 2022","Fri Apr 22 20:19:58 MSK 2022","9932","","ru.diary.FirstTest","","ru.diary.FirstTest","testFailureLogIn4","testFailureLogIn4",""
"passed","Fri Apr 22 20:19:37 MSK 2022","Fri Apr 22 20:19:48 MSK 2022","11116","","ru.diary.FirstTest","","ru.diary.FirstTest","testFailureLogIn3","testFailureLogIn3",""
"passed","Fri Apr 22 20:17:24 MSK 2022","Fri Apr 22 20:18:01 MSK 2022","37076","","com.andersenlab.andersenlabTest","","com.andersenlab.andersenlabTest","checkAnyVisualElementsCaseTwo","checkAnyVisualElementsCaseTwo",""
"passed","Fri Apr 22 20:20:12 MSK 2022","Fri Apr 22 20:20:24 MSK 2022","12119","","ru.diary.FirstTest","","ru.diary.FirstTest","testRuEngLetters","testRuEngLetters",""
"passed","Fri Apr 22 20:19:28 MSK 2022","Fri Apr 22 20:19:37 MSK 2022","8913","","ru.diary.FirstTest","","ru.diary.FirstTest","testFailureLogIn2","testFailureLogIn2",""
"broken","Fri Apr 22 20:16:58 MSK 2022","Fri Apr 22 20:17:23 MSK 2022","25443","","com.andersenlab.andersenlabTest","","com.andersenlab.andersenlabTest","checkAnyVisualElementsCaseOne","checkAnyVisualElementsCaseOne",""
